id,name,age,occupation,gender,annual_income,region,persona,personal_score,saving_goal_text,target_max_spending_amount
11,안선희,48,무직,Female,0,서울 서울-노원구,"안선희 씨는 노원구 상계동에 거주하며 인문학적 소양과 꼼꼼한 성격을 바탕으로 지역 사회에서 작은 영향력을 발휘하고, 건강 관리와 자아실현 사이에서 균형을 찾는 40대 여성입니다. 주요 강점은 텍스트 요약 및 분석, 단체 일정 및 예산 관리이며, 일상 관심사는 수락산 둘레길 산책, 지역 복지관 교육 봉사, 수채화 그리기입니다. 가족·주거 형태는 배우자·자녀와 거주, 아파트이며, 언젠가 작은 독립 서점을 운영하며 동네 사람들의 인생 이야기를 기록하는 작업을 해보고 싶어 합니다.",0,"가족 생활비와 노후 준비의 균형 확보: 서울 서울-노원구 거주, 무직 생활 패턴을 기준으로 자녀 관련 지출 계획화, 월 고정 주거비 관리, 취미/관심사(수락산 둘레길 산책) 지출을 조절하고 강점(텍스트 요약 및 분석)을 활용해 월별 저축 루틴을 유지하기",500000
12,천상희,54,치과위생사,Female,53300000,인천 인천-부평구,"천상희 씨는 부평에서 치과위생사로 일하며 가족의 평온과 정년까지의 안정을 꿈꾸는, 건강 관리가 시급한 50대 여성입니다. 주요 강점은 정밀 치석 제거 및 잇몸 관리, 환자 맞춤형 구강 보건 교육이며, 일상 관심사는 지역 배드민턴 클럽 활동, 전국 역사 유적지 가족 탐방, 동네 빵집 투어 및 디저트 시식입니다. 가족·주거 형태는 배우자·자녀와 거주, 아파트이며, 가끔 업무 중 솟구치는 예민함을 다스리며 후배들과 원만한 관계를 유지하는 평온한 직장 생활을 지향합니다.",0,"은퇴 전 현금흐름 정리와 건강 지출 대비: 인천 인천-부평구 거주, 치과위생사 생활 패턴을 기준으로 자녀 관련 지출 계획화, 월 고정 주거비 관리, 취미/관심사(지역 배드민턴 클럽 활동) 지출을 조절하고 강점(정밀 치석 제거 및 잇몸 관리)을 활용해 월별 저축 루틴을 유지하기",2620000
13,박민종,40,경영 컨설턴트,Male,44300000,서울 서울-강서구,"박민종 씨는 실용주의적 가치관을 가진 베테랑 경영 컨설턴트로, 강서구에서 아내와 살며 당구와 사우나, K리그로 스트레스를 푸는 40대 가장입니다. 주요 강점은 실무 중심의 경영 프로세스 최적화, 중소기업 맞춤형 운영 효율화 전략 수립이며, 일상 관심사는 동네 당구장에서의 3구 경기, 주말 오후 지역 사우나 방문, K리그 경기 시청 및 분석입니다. 가족·주거 형태는 배우자와 거주, 다세대주택이며, 현재의 소득 수준에 안주하지 않고, 실무 경험을 더 쌓아 향후 자신만의 색깔을 가진 소규모 컨설팅 펌을 운영하는 청사진을 그리고 있습니다.",0,"가족 생활비와 노후 준비의 균형 확보: 서울 서울-강서구 거주, 경영 컨설턴트 생활 패턴을 기준으로 가족 공동 지출 관리, 월 고정 주거비 관리, 취미/관심사(동네 당구장에서의 3구 경기) 지출을 조절하고 강점(실무 중심의 경영 프로세스 최적화)을 활용해 월별 저축 루틴을 유지하기",2180000
14,양준호,50,건물 경비원,Male,30400000,전북 전북-진안군,"양준호 씨는 진안군의 정적인 정서와 철저한 자기관리 능력을 바탕으로 가족의 안정을 위해 헌신하는 성실한 경비원이자 외강내유한 성격의 소유자입니다. 주요 강점은 시설물 안전 점검 로그 작성 및 관리, 소규모 텃밭 작물 재배 및 병충해 관리이며, 일상 관심사는 80년대 가요 및 올드팝 감상, 진안읍내 중식당 맛집 탐방, 일간지 정독 및 주요 기사 스크랩입니다. 가족·주거 형태는 배우자·자녀와 거주, 아파트이며, 은퇴 후에는 무리한 확장 없이 지금의 자가 아파트에서 소박하게 생활하며, 고혈압 전단계인 건강 수치를 정상으로 되돌리는 것을 현실적인 목표로 삼고 있습니다.",0,"은퇴 전 현금흐름 정리와 건강 지출 대비: 전북 전북-진안군 거주, 건물 경비원 생활 패턴을 기준으로 자녀 관련 지출 계획화, 월 고정 주거비 관리, 취미/관심사(80년대 가요 및 올드팝 감상) 지출을 조절하고 강점(시설물 안전 점검 로그 작성 및 관리)을 활용해 월별 저축 루틴을 유지하기",1420000
15,이지윤,38,전기기기 설치 및 정비원,Female,50500000,경기 경기-남양주시,"이지윤 씨는 남양주에서 전기 설비 전문가로 일하며 강인한 직업 정신과 섬세한 가정적 면모를 동시에 지닌, 가족의 안식과 개인의 성장을 함께 추구하는 38세 여성입니다. 주요 강점은 PLC 제어 회로 설계 및 디버깅, 산업용 전기 설비 설치 및 안전 점검이며, 일상 관심사는 북한강변 카페 투어, 네일 아트 및 피부 관리, 반려견과 함께하는 동네 산책입니다. 가족·주거 형태는 배우자·자녀와 거주, 다세대주택이며, 전기기능장 자격증을 취득해 현장 실무를 넘어 기술 지도자로 인정받고자 하며, 아이들이 성장함에 따라 육체적 강도가 낮은 전기 안전 관리직으로 직무를 전환하는 계획을 세우고 있습니다.",0,"주거 안정과 중기 목돈 마련: 경기 경기-남양주시 거주, 전기기기 설치 및 정비원 생활 패턴을 기준으로 자녀 관련 지출 계획화, 월 고정 주거비 관리, 취미/관심사(북한강변 카페 투어) 지출을 조절하고 강점(PLC 제어 회로 설계 및 디버깅)을 활용해 월별 저축 루틴을 유지하기",2740000
16,최정현,27,일반 간호사,Female,51900000,서울 서울-송파구,"최정현 씨는 송파구에 거주하며 환자를 향한 다정함과 업무적 차분함을 겸비한 간호사로, 식물 가꾸기와 자연 속의 휴식을 통해 삶의 균형을 찾는 20대 여성입니다. 주요 강점은 정맥 주사 및 투약 관리, 환자 심리 상태 파악 및 공감 대화이며, 일상 관심사는 베란다 홈 가드닝, 일식 돈카츠와 소바 맛집 탐방, 유튜브 뷰티 채널 시청 및 홈케어입니다. 가족·주거 형태는 부모와 동거, 아파트이며, 먼 미래에는 조금 더 규칙적인 생활이 가능한 외래 진료실이나 보건 관리직으로 옮겨 삶의 균형을 유지하고 싶어 합니다.",0,"비상금과 커리어 전환 자금 마련: 서울 서울-송파구 거주, 일반 간호사 생활 패턴을 기준으로 부모님 부양 비용 관리, 월 고정 주거비 관리, 취미/관심사(베란다 홈 가드닝) 지출을 조절하고 강점(정맥 주사 및 투약 관리)을 활용해 월별 저축 루틴을 유지하기",3070000
17,길성환,41,배전반 조작원,Male,45500000,대구 대구-동구,"길성환 씨는 대구 동구의 현장에서 묵묵히 기술을 닦아온 숙련공이자, 가족을 향한 책임감과 건강에 대한 염려 사이에서 균형을 잡으려 애쓰는 평범한 40대 가장입니다. 주요 강점은 배전반 회로 도면 분석 및 설계 검토, 산업용 전력 설비 유지보수이며, 일상 관심사는 팔공산 숲길 단독 산책, 2000년대 초반 발라드 감상, 동네 친구들과의 술자리 잡담입니다. 가족·주거 형태는 배우자·자녀와 거주, 비주거용 건물 내 주택이며, 현재의 직무에서 오차 없는 완벽한 숙련도를 유지해 동료들에게 신뢰받는 베테랑이 되는 것에 만족하며, 틈틈이 공부하여 전기산업기사 자격증을 취득해 기술적 전문성을 공인받으려 합니다.",0,"가족 생활비와 노후 준비의 균형 확보: 대구 대구-동구 거주, 배전반 조작원 생활 패턴을 기준으로 자녀 관련 지출 계획화, 주거비 안정화, 취미/관심사(팔공산 숲길 단독 산책) 지출을 조절하고 강점(배전반 회로 도면 분석 및 설계 검토)을 활용해 월별 저축 루틴을 유지하기",2350000
18,김승원,51,엘리베이터 설치 및 정비원,Male,48200000,대구 대구-동구,"김승원 씨는 대구 동구에서 어머니와 함께 살며 승강기 정비 기술 하나로 삶을 일궈온, 겉은 무뚝뚝해도 속은 따뜻한 50대 미혼 남성입니다. 주요 강점은 승강기 제어반 회로 분석 및 트러블슈팅, 권상기 및 가이드 레일 정밀 수평 조절이며, 일상 관심사는 안동호 민물낚시, 라디오 음악 프로그램 청취, 팔공산 둘레길 산책입니다. 가족·주거 형태는 어머니와 동거, 아파트이며, 무리하게 사업을 확장하기보다는 현재의 기술력을 유지하며 사고 없이 현장을 관리하는 것에 집중하고, 퇴직 전까지 후배들에게 실전에서 바로 써먹을 수 있는 정비 노하우를 전수하는 베테랑으로 남고 싶어 합니다.",0,"은퇴 전 현금흐름 정리와 건강 지출 대비: 대구 대구-동구 거주, 엘리베이터 설치 및 정비원 생활 패턴을 기준으로 1인 생활비와 자기계발비 통제, 월 고정 주거비 관리, 취미/관심사(안동호 민물낚시) 지출을 조절하고 강점(승강기 제어반 회로 분석 및 트러블슈팅)을 활용해 월별 저축 루틴을 유지하기",2330000
19,박원목,46,그 외 기계장비 설치 및 정비원,Male,51600000,대구 대구-달서구,"박원목 씨는 대구의 가구 공장에서 숙련된 기술로 가정을 지탱하며, 삼성 라이온즈와 사우나를 사랑하는 성실하고 보수적인 중년 가장입니다. 주요 강점은 자동 절단기 정밀 수평 조절, 유압 시스템 누유 진단 및 보수이며, 일상 관심사는 달성공원 산책로 걷기, 유튜브 기계 정비 영상 시청, 동네 코인 노래방에서 트로트 부르기입니다. 가족·주거 형태는 배우자·자녀와 거주, 아파트이며, 현장에서 쌓은 기술적 신뢰를 바탕으로 동료들에게 인정받는 최고 숙련공이 되어, 정년까지 큰 사고 없이 안정적으로 가계 소득을 유지하는 것에 집중합니다.",0,"가족 생활비와 노후 준비의 균형 확보: 대구 대구-달서구 거주, 그 외 기계장비 설치 및 정비원 생활 패턴을 기준으로 자녀 관련 지출 계획화, 월 고정 주거비 관리, 취미/관심사(달성공원 산책로 걷기) 지출을 조절하고 강점(자동 절단기 정밀 수평 조절)을 활용해 월별 저축 루틴을 유지하기",2670000
20,이경수,45,무직,Male,0,경기 경기-용인시 기흥구,"이경수 씨는 기계 정비 기술과 탁월한 사회성을 갖췄음에도 현재는 무직 상태로, UFC 분석과 가족 산책으로 내면의 불안함을 달래며 소박한 창업을 꿈꾸는 용인의 40대 가장입니다. 주요 강점은 상대방의 심리를 읽는 유연한 협상력, 전자기기 하드웨어 유지보수 및 수리이며, 일상 관심사는 UFC 및 로드FC 경기 분석 시청, 기흥구 일대 숨은 한식 맛집 탐방, 정치 및 경제 관련 팟캐스트 청취입니다. 가족·주거 형태는 배우자·자녀와 거주, 아파트이며, 거창한 성공보다는 가족들과의 저녁 식사를 보장받으면서도 사회적 존재감을 유지할 수 있는 소박한 일터를 꿈꿉니다.",0,"가족 생활비와 노후 준비의 균형 확보: 경기 경기-용인시 기흥구 거주, 무직 생활 패턴을 기준으로 자녀 관련 지출 계획화, 월 고정 주거비 관리, 취미/관심사(UFC 및 로드FC 경기 분석 시청) 지출을 조절하고 강점(상대방의 심리를 읽는 유연한 협상력)을 활용해 월별 저축 루틴을 유지하기",500000
21,고은경,46,판금원,Female,47200000,경기 경기-용인시 기흥구,"고은경 씨는 용인에서 근무하는 숙련된 판금원으로, 성실한 저축과 절제된 일상을 통해 내 집 마련의 꿈을 키워가는 강인하고 차분한 40대 여성입니다. 주요 강점은 자동차 외판 판금 교정, 스팟 용접 및 접합 기술이며, 일상 관심사는 동네 배드민턴 클럽 활동, 동네 사우나에서 휴식하기, 최신 개봉 영화 관람입니다. 가족·주거 형태는 배우자·자녀와 거주, 연립주택이며, 현재의 숙련도를 유지하며 현장에서 믿음직한 선배로 남는 것에 만족하며, 매달 꼬박꼬박 모으는 적금을 통해 전세를 벗어나 가족들이 온전히 쉴 수 있는 작은 내 집을 마련하고자 합니다.",0,"가족 생활비와 노후 준비의 균형 확보: 경기 경기-용인시 기흥구 거주, 판금원 생활 패턴을 기준으로 자녀 관련 지출 계획화, 주거비 안정화, 취미/관심사(동네 배드민턴 클럽 활동) 지출을 조절하고 강점(자동차 외판 판금 교정)을 활용해 월별 저축 루틴을 유지하기",2440000
22,김현희,38,무직,Female,0,인천 인천-미추홀구,"김현희 씨는 공학적 꼼꼼함으로 가정을 돌보며 송도 입성과 남동공단 재취업을 꿈꾸는 미추홀구의 현실적인 주부입니다. 주요 강점은 이케아 가구 및 소형 가전 조립, 엑셀 기반 가계 지출 데이터 분석이며, 일상 관심사는 문학산 등산 및 숲길 산책, 이문세 노래 부르기, 동네 분식집 쫄면 맛집 탐방입니다. 가족·주거 형태는 배우자·자녀와 거주, 다세대주택이며, 거창한 커리어보다는 매달 꼬박꼬박 들어오는 월급으로 가족과 함께 송도 근처의 깨끗한 아파트로 이사하는 실질적인 목표를 가지고 있습니다.",0,"주거 안정과 중기 목돈 마련: 인천 인천-미추홀구 거주, 무직 생활 패턴을 기준으로 자녀 관련 지출 계획화, 월 고정 주거비 관리, 취미/관심사(문학산 등산 및 숲길 산책) 지출을 조절하고 강점(이케아 가구 및 소형 가전 조립)을 활용해 월별 저축 루틴을 유지하기",500000
23,허현화,54,무직,Female,0,부산 부산-강서구,"허현화 씨는 부산 강서구에서 가족과 이웃을 세심히 살피며, 소박한 정원 가꾸기와 영상 기록을 통해 일상의 평온함을 찾아가는 배려심 깊은 중년 여성입니다. 주요 강점은 가족 맞춤형 외식 메뉴 큐레이팅, 스마트폰 영상 편집 앱 활용이며, 일상 관심사는 낙동강 하구둑 산책로 사진 촬영, 모바일 퍼즐 게임, 일본식 소바 및 초밥 맛집 탐방입니다. 가족·주거 형태는 배우자·자녀와 거주, 단독주택이며, 거창한 사회적 성취보다는 지역 커뮤니티 센터의 원예 과정을 완강하여, 마당의 작은 화단을 계절마다 다채로운 꽃들로 채워나가는 소박한 성취를 꿈꿉니다.",0,"은퇴 전 현금흐름 정리와 건강 지출 대비: 부산 부산-강서구 거주, 무직 생활 패턴을 기준으로 자녀 관련 지출 계획화, 주거비 안정화, 취미/관심사(낙동강 하구둑 산책로 사진 촬영) 지출을 조절하고 강점(가족 맞춤형 외식 메뉴 큐레이팅)을 활용해 월별 저축 루틴을 유지하기",500000
24,이은순,50,소규모 상점 경영자,Female,58500000,경기 경기-고양시 일산서구,"이은순 씨는 공학적 논리와 다정한 성품을 겸비한 일산의 소규모 상점 운영자로, 가족의 안정과 이웃과의 정을 소중히 여기며 배드민턴과 트로트로 활력을 찾는 50대 여성입니다. 주요 강점은 효율적인 매장 공간 배치, 단골 고객 성향 분석 및 관리이며, 일상 관심사는 일산 호수공원 배드민턴 모임, 친구들과의 트로트 노래방 방문, 경기도 외곽 숲길 산책 및 풍경 사진 촬영입니다. 가족·주거 형태는 배우자·자녀와 거주, 아파트이며, 현재 운영하는 상점이 동네 사람들이 편하게 들러 이야기를 나누는 사랑방 같은 공간이 되기를 바라며, 무리한 확장보다는 내실 있는 운영을 통해 자녀들이 안정적으로 자립할 수 있는 기반을 유지하는 것에 가치를 둡니다.",0,"은퇴 전 현금흐름 정리와 건강 지출 대비: 경기 경기-고양시 일산서구 거주, 소규모 상점 경영자 생활 패턴을 기준으로 자녀 관련 지출 계획화, 월 고정 주거비 관리, 취미/관심사(일산 호수공원 배드민턴 모임) 지출을 조절하고 강점(효율적인 매장 공간 배치)을 활용해 월별 저축 루틴을 유지하기",2880000
25,박현희,32,산업 안전원,Female,47900000,경기 경기-의정부시,"박현희 씨는 인문학적 감수성과 산업 안전이라는 냉철한 전문성을 동시에 갖춘, 내면의 고요함을 사랑하는 32세 직장인입니다. 주요 강점은 위험성 평가 보고서 작성, 산업안전보건법 준수 여부 점검이며, 일상 관심사는 북한산 둘레길 산책, 오늘의집 인테리어 소품 수집, 넷플릭스 다큐멘터리 시청입니다. 가족·주거 형태는 부모와 동거, 아파트이며, 현재의 전문성을 다지기 위해 산업안전지도사 자격 취득을 준비하고 있으며, 현장의 경직된 분위기를 유연하게 바꾸어 사고 없는 일터를 만드는 실질적인 성과를 내고 싶어 합니다.",0,"주거 안정과 중기 목돈 마련: 경기 경기-의정부시 거주, 산업 안전원 생활 패턴을 기준으로 부모님 부양 비용 관리, 월 고정 주거비 관리, 취미/관심사(북한산 둘레길 산책) 지출을 조절하고 강점(위험성 평가 보고서 작성)을 활용해 월별 저축 루틴을 유지하기",2630000
26,서나미,46,음식료품 판매원,Female,41100000,경기 경기-남양주시,"서나미 씨는 남양주에서 식료품 판매원으로 일하며 예술적 감각과 현실적 생활력을 동시에 갖춘, 빵과 인테리어를 사랑하는 40대 여성입니다. 주요 강점은 고객 심리 기반의 맞춤형 식료품 추천, 시각적 효과를 고려한 상품 진열 및 VMD이며, 일상 관심사는 남양주 지역 베이커리 탐방 및 기록, 지역 커뮤니티 센터 배드민턴 활동, 인테리어 및 홈 스타일링 영상 시청입니다. 가족·주거 형태는 배우자·자녀와 거주, 아파트이며, 단순히 물건을 파는 곳이 아니라, 사람들에게 영감을 주는 공간을 만드는 것이 소소한 꿈입니다.",0,"가족 생활비와 노후 준비의 균형 확보: 경기 경기-남양주시 거주, 음식료품 판매원 생활 패턴을 기준으로 자녀 관련 지출 계획화, 월 고정 주거비 관리, 취미/관심사(남양주 지역 베이커리 탐방 및 기록) 지출을 조절하고 강점(고객 심리 기반의 맞춤형 식료품 추천)을 활용해 월별 저축 루틴을 유지하기",2120000
